ID,DISCOURSE,ORGANIZATION,GRAMMAR,MECHANICS,LENGTH,score,score2
RESPONSE_1,4.93806460126142,-0.0846667513334603,-0.316793975540994,4.65591397849462,279,3,3
RESPONSE_2,5.37989735354046,-0.15920308451727802,-0.271537693320852,4.76267281105991,434,4,4
RESPONSE_3,4.87137322676275,-0.13840913308956698,-0.3032392174315611,4.681992337164751,261,3,3
RESPONSE_4,4.71849887129509,-0.211288563682129,-0.30618621784789696,4.42410714285714,224,3,3
RESPONSE_5,4.62497281328427,-0.121267812518166,-0.261968415997792,5.0,204,3,3
RESPONSE_6,5.52942908751142,-0.204124145231932,0.0,4.57539682539683,504,4,4
RESPONSE_7,5.0562458053483095,-0.11286652959662,-0.178457652562062,4.5796178343949006,314,3,3
RESPONSE_8,4.774912960575191,-0.20541200750444,-0.0649569802461631,4.953586497890299,237,3,4
RESPONSE_9,5.46806014113513,-0.259827920984652,-0.225017580185205,3.85021097046413,474,3,3
RESPONSE_10,6.26909628370626,-0.32856437033638497,0.0,4.276515151515151,528,2,2
RESPONSE_11,6.15060276844628,-0.146020415081142,0.0,4.19189765458422,469,3,3
RESPONSE_12,5.29078910012725,-0.18778840120519694,0.0,4.56926952141058,397,4,4
RESPONSE_13,5.1817835502920895,-0.198307444884526,-0.158999682000954,4.47191011235955,356,3,3
RESPONSE_14,5.48893772615669,-0.0642824346533225,0.0,4.5495867768595,484,4,4
RESPONSE_15,4.44265125649032,-0.391076944437521,-0.351467511677404,4.7764705882352905,170,2,2
RESPONSE_16,5.31073988654659,-0.149071198499986,-0.131468439624436,4.02962962962963,405,3,4
RESPONSE_17,6.200509174042691,-0.2776312437480169,0.0,3.68965517241379,493,3,3
RESPONSE_18,5.69204721843778,-0.0711268017165705,-0.16931565460334902,4.82462057335582,593,4,5
RESPONSE_19,4.52720864451838,-0.194519505031855,-0.311925146946022,4.19459459459459,185,3,3
RESPONSE_20,4.753590191106361,-0.30794088102572,-0.185695338177052,4.44827586206897,232,3,3
RESPONSE_21,4.5849674786705705,-0.188982236504614,0.0,4.581632653061219,196,3,3
RESPONSE_22,4.7791234931115305,-0.194461117065649,-0.372364689766463,4.28991596638655,238,3,3
